Questions,Answers
"documents required at the time of admission","10th ,12th and Recent Degree marksheet will we required at the time of admission for documents verifications,fees payment receipt,Admission conformation mail receipt,In addition to the above, please provide two recent passport size photographs for our records"
"documents required during admission","10th ,12th and Recent Degree marksheet will we required at the time of admission for documents verifications,fees payment receipt,Admission conformation mail receipt,In addition to the above, please provide two recent passport size photographs for our records"
"What document are required for admission","10th ,12th and Recent Degree marksheet will we required at the time of admission for documents verifications,fees payment receipt,Admission conformation mail receipt,In addition to the above, please provide two recent passport size photographs for our records"
"Which document to bring for admission","10th ,12th and Recent Degree marksheet will we required at the time of admission for documents verifications,fees payment receipt,Admission conformation mail receipt,In addition to the above, please provide two recent passport size photographs for our records"
"documents","10th ,12th and Recent Degree marksheet will we required at the time of admission for documents verifications,fees payment receipt,Admission conformation mail receipt,In addition to the above, please provide two recent passport size photographs for our records"
"what documents do i need","10th ,12th and Recent Degree marksheet will we required at the time of admission for documents verifications,fees payment receipt,Admission conformation mail receipt,In addition to the above, please provide two recent passport size photographs for our records"
"what documents do I need for admission","10th ,12th and Recent Degree marksheet will we required at the time of admission for documents verifications,fees payment receipt,Admission conformation mail receipt,In addition to the above, please provide two recent passport size photographs for our records"
"documents needed","10th ,12th and Recent Degree marksheet will we required at the time of admission for documents verifications,fees payment receipt,Admission conformation mail receipt,In addition to the above, please provide two recent passport size photographs for our records"
"how many classroom do you have ","We have a total of five classrooms, with sizes varying depending on the specific course requirements and we have four dedicated labs equipped for different courses"
"Could you please tell me the number of classrooms at your institution ","We have a total of five classrooms, with sizes varying depending on the specific course requirements and we have four dedicated labs equipped for different courses"
"How many classrooms does your institution have","We have a total of five classrooms, with sizes varying depending on the specific course requirements and we have four dedicated labs equipped for different courses"
"number of classroom ","We have a total of five classrooms, with sizes varying depending on the specific course requirements and we have four dedicated labs equipped for different courses"
"classroom ","We have a total of five classrooms, with sizes varying depending on the specific course requirements and we have four dedicated labs equipped for different courses"
"labs ","We have a total of five classrooms, with sizes varying depending on the specific course requirements and we have four dedicated labs equipped for different courses"
"number of labs","We have a total of five classrooms, with sizes varying depending on the specific course requirements and we have four dedicated labs equipped for different courses"
"how many number of lab do you have ","We have a total of five classrooms, with sizes varying depending on the specific course requirements and we have four dedicated labs equipped for different courses"
"building structure","Cdac has total 2 floors "
"size of campus","Cdac has total 2 floors "
"building size","Cdac has total 2 floors "
"How many floors does college have","Cdac has total 2 floors "
"floors in college","Cdac has total 2 floors "
"how tall is CDAC's  college building","Cdac has total 2 floors "
"floors","Cdac has total 2 floors "
"is there any library","A small library is there you can take book from library and you can read in the classrooms"
"library facility","A small library is there you can take book from library and you can read in the classrooms"
"library facilities","A small library is there you can take book from library and you can read in the classrooms"
"do you have library","A small library is there you can take book from library and you can read in the classrooms"
"does the college have library facility","A small library is there you can take book from library and you can read in the classrooms"
"college library","A small library is there you can take book from library and you can read in the classrooms"
"where can i get books","A small library is there you can take book from library and you can read in the classrooms"
"book facility","A small library is there you can take book from library and you can read in the classrooms"
"Where is library","A small library is there you can take book from library and you can read in the classrooms"
"Library","A small library is there you can take book from library and you can read in the classrooms"
"Library information","A small library is there you can take book from library and you can read in the classrooms"
"Library books information","A small library is there you can take book from library and you can read in the classrooms"
"Tell me about library","A small library is there you can take book from library and you can read in the classrooms"
"how many libraries","A small library is there you can take book from library and you can read in the classrooms"
"food facilities","We have dining for hostelers and for day scholars they have buy coupon from the reception"
"canteen facilities","We have dining for hostelers and for day scholars they have buy coupon from the reception"
"canteen facility","We have dining for hostelers and for day scholars they have buy coupon from the reception"
"is there any canteen","We have dining for hostelers and for day scholars they have buy coupon from the reception"
"Is there a cafetaria in college","We have dining for hostelers and for day scholars they have buy coupon from the reception"
"Does college have canteen","We have dining for hostelers and for day scholars they have buy coupon from the reception"
"Where is canteen","In the campus itself"
"where is cafetaria","In the campus itself"
"canteen","We have dining for hostelers and for day scholars they have buy coupon from the reception"
"Food","We have dining for hostelers and for day scholars they have buy coupon from the reception"
"Cafetaria","We have dining for hostelers and for day scholars they have buy coupon from the reception"
"food menu","we serve Idli,Poha, Chole-Bhature, Alu-parathe, Alu-puri, Veg-Thali, Sandwich, Samosa, Sweets,Chai, Coffee etc"
"food in canteen","we serve Idli,Poha, Chole-Bhature, Alu-parathe, Alu-puri, Veg-Thali, Sandwich, Samosa, Sweets,Chai, Coffee etc"
"Whats there on menu","we serve Idli,Poha, Chole-Bhature, Alu-parathe, Alu-puri, Veg-Thali, Sandwich, Samosa, Sweets,Chai, Coffee etc"
"what is available in college canteen","we serve Idli,Poha, Chole-Bhature, Alu-parathe, Alu-puri, Veg-Thali, Sandwich, Samosa, Sweets,Chai, Coffee etc"
"what foods can we get in college canteen","we serve Idli,Poha, Chole-Bhature, Alu-parathe, Alu-puri, Veg-Thali, Sandwich, Samosa, Sweets,Chai, Coffee etc"
"food variety","we serve Idli,Poha, Chole-Bhature, Alu-parathe, Alu-puri, Veg-Thali, Sandwich, Samosa, Sweets,Chai, Coffee etc"
"What is there to eat?","we serve Idli,Poha, Chole-Bhature, Alu-parathe, Alu-puri, Veg-Thali, Sandwich, Samosa, Sweets,Chai, Coffee etc"
"Could you please tell me who the current placement coordinator is ","For information regarding placement, you can contact our Placement Cell Coordinator, Indrani Hande."
"Who handles placement inquiries at this institution ","For information regarding placement, you can contact our Placement Cell Coordinator, Indrani Hande."
"Whom should I contact regarding placement opportunities","For information regarding placement, you can contact our Placement Cell Coordinator, Indrani Hande."
"what is the process of admission","To qualify for admission, you must first take the C-CAT exam. Your rank on the exam will determine your eligibility for available CDAC centers across India. For further details, please visit our official website: https://cdac.in/: https://cdac.in/."
"what is the admission process","To qualify for admission, you must first take the C-CAT exam. Your rank on the exam will determine your eligibility for available CDAC centers across India. For further details, please visit our official website: https://cdac.in/: https://cdac.in/."
"How to take admission in your cdac","To qualify for admission, you must first take the C-CAT exam. Your rank on the exam will determine your eligibility for available CDAC centers across India. For further details, please visit our official website: https://cdac.in/: https://cdac.in/."
"What is the process for admission","To qualify for admission, you must first take the C-CAT exam. Your rank on the exam will determine your eligibility for available CDAC centers across India. For further details, please visit our official website: https://cdac.in/: https://cdac.in/."
"admission","To qualify for admission, you must first take the C-CAT exam. Your rank on the exam will determine your eligibility for available CDAC centers across India. For further details, please visit our official website: https://cdac.in/: https://cdac.in/."
"admission process","To qualify for admission, you must first take the C-CAT exam. Your rank on the exam will determine your eligibility for available CDAC centers across India. For further details, please visit our official website: https://cdac.in/: https://cdac.in/."
"What facilities cdac provide","Our Bengaluru  center provides fully AC Lab with internet connection, smart classroom,canteen"
"cdac facility","Our Bengaluru  center provides fully AC Lab with internet connection, smart classroom,canteen"
"What are cdac facilities","Our Bengaluru  center provides fully AC Lab with internet connection, smart classroom,canteen"
"facilities provided by cdac","Our Bengaluru  center provides fully AC Lab with internet connection, smart classroom,canteen"
"max number of students","For (PG-DAC) we have 240 seats, (PG-DBDA) and (PG-DESD) 120 seat ,for (PG-DITISS) and (PG-DIOT) we have 60 seats and for (PG-DUASP) we have 30 seats  and seats may be differ for different departments."
"number of seats per branch","For (PG-DAC) we have 240 seats, (PG-DBDA) and (PG-DESD) 120 seat ,for (PG-DITISS) and (PG-DIOT) we have 60 seats and for (PG-DUASP) we have 30 seats  and seats may be differ for different departments."
"number of seats in each branch","For (PG-DAC) we have 240 seats, (PG-DBDA) and (PG-DESD) 120 seat ,for (PG-DITISS) and (PG-DIOT) we have 60 seats and for (PG-DUASP) we have 30 seats  and seats may be differ for different departments."
"maximum number of seats","For (PG-DAC) we have 240 seats, (PG-DBDA) and (PG-DESD) 120 seat ,for (PG-DITISS) and (PG-DIOT) we have 60 seats and for (PG-DUASP) we have 30 seats  and seats may be differ for different departments."
"maximum students intake","For (PG-DAC) we have 240 seats, (PG-DBDA) and (PG-DESD) 120 seat ,for (PG-DITISS) and (PG-DIOT) we have 60 seats and for (PG-DUASP) we have 30 seats  and seats may be differ for different departments."
"What is cdac intake","For (PG-DAC) we have 240 seats, (PG-DBDA) and (PG-DESD) 120 seat ,for (PG-DITISS) and (PG-DIOT) we have 60 seats and for (PG-DUASP) we have 30 seats  and seats may be differ for different departments."
"how many stundent are taken in each branch","For (PG-DAC) we have 240 seats, (PG-DBDA) and (PG-DESD) 120 seat ,for (PG-DITISS) and (PG-DIOT) we have 60 seats and for (PG-DUASP) we have 30 seats  and seats may be differ for different departments."
"seat allotment","For (PG-DAC) we have 240 seats, (PG-DBDA) and (PG-DESD) 120 seat ,for (PG-DITISS) and (PG-DIOT) we have 60 seats and for (PG-DUASP) we have 30 seats  and seats may be differ for different departments."
"seats","For (PG-DAC) we have 240 seats, (PG-DBDA) and (PG-DESD) 120 seat ,for (PG-DITISS) and (PG-DIOT) we have 60 seats and for (PG-DUASP) we have 30 seats  and seats may be differ for different departments."
"cdac dress code","Monday, Wednesday and Friday formals and rest of the days casuals"
"cdac dresscode","Monday, Wednesday and Friday formals and rest of the days casuals"
"can we wear casuals","Monday, Wednesday and Friday formals and rest of the days casuals"
"Does cdac have an uniforn","Monday, Wednesday and Friday formals and rest of the days casuals"
"do we have to wear form","Monday, Wednesday and Friday formals and rest of the days casuals"
"can we casuals ?","You must wear formal clothing on Mondays, Wednesdays, and Fridays.Casual wear is allowed on Tuesdays,Thursdays and Saturaday"
"is there we have wear formals ?","You must wear formal clothing on Mondays, Wednesdays, and Fridays.Casual wear is allowed on Tuesdays,Thursdays and Saturaday"
"does formal is compulsary ?","You must wear formal clothing on Mondays, Wednesdays, and Fridays.Casual wear is allowed on Tuesdays,Thursdays and Saturaday"
"when we have wear a formals ?","You must wear formal clothing on Mondays, Wednesdays, and Fridays.Casual wear is allowed on Tuesdays,Thursdays and Saturaday"
"what are the different committe in college","For inquiries regarding various college committees, please contact us at 080-28523300 or email actsb@cdac.in"
"different committee in college","For inquiries regarding various college committees, please contact us at 080-28523300 or email actsb@cdac.in"
"Are there any committee in college","For inquiries regarding various college committees, please contact us at 080-28523300 or email actsb@cdac.in"
"Give me committee details","For inquiries regarding various college committees, please contact us at 080-28523300 or email actsb@cdac.in"
"committee","For inquiries regarding various college committees, please contact us at 080-28523300 or email actsb@cdac.in"
"how many committee are there in college","For inquiries regarding various college committees, please contact us at 080-28523300 or email actsb@cdac.in"
"What languages are permitted for communication on campus ?" ,"English is the primary language of communication on campus. However, Hindi may also be used in certain situations."
"Which languages are officially recognized for communication on campus ?","English is the primary language of communication on campus. However, Hindi may also be used in certain situations."
"What languages are okay to speak on campus ?","English is the primary language of communication on campus. However, Hindi may also be used in certain situations."
"What languages can you use in  campus ?","English is the primary language of communication on campus. However, Hindi may also be used in certain situations."
"holidays in cdac","Academic calender is given to you by your course-co-ordinators after you join your respective courses"
"when will course starts","Academic calender is given to you by your course-co-ordinators after you join your respective courses"
"when will course end","Academic calender is given to you by your course-co-ordinators after you join your respective courses"
"when is the holidays","Academic calender is given to you by your course-co-ordinators after you join your respective courses"
"list of holidays","Academic calender is given to you by your course-co-ordinators after you join your respective courses"
"Holiday in these year","Academic calender is given to you by your course-co-ordinators after you join your respective courses"
"holiday list","Academic calender is given to you by your course-co-ordinators after you join your respective courses"
"about vacations","Academic calender is given to you by your course-co-ordinators after you join your respective courses"
"about holidays","Academic calender is given to you by your course-co-ordinators after you join your respective courses"
"When is vacation","Academic calender is given to you by your course-co-ordinators after you join your respective courses"
"When is holidays","Academic calender is given to you by your course-co-ordinators after you join your respective courses"
"sports and games","Our CDAC centers encourage all-round development of students. To achieve this, we provide sports facilities within the campus. For more details, please visit our official website: https://cdac.in/index.aspx?id=BL"
"give sports details","Our CDAC centers encourage all-round development of students. To achieve this, we provide sports facilities within the campus. For more details, please visit our official website: https://cdac.in/index.aspx?id=BL"
"sports infrastructure","Our CDAC centers encourage all-round development of students. To achieve this, we provide sports facilities within the campus. For more details, please visit our official website: https://cdac.in/index.aspx?id=BL"
"sports facilities","Our CDAC centers encourage all-round development of students. To achieve this, we provide sports facilities within the campus. For more details, please visit our official website: https://cdac.in/index.aspx?id=BL"
"information about sports","Our CDAC centers encourage all-round development of students. To achieve this, we provide sports facilities within the campus. For more details, please visit our official website: https://cdac.in/index.aspx?id=BL"
"Sports activities","Our CDAC centers encourage all-round development of students. To achieve this, we provide sports facilities within the campus. For more details, please visit our official website: https://cdac.in/index.aspx?id=BL"
"please provide sports and games information","Our CDAC centers encourage all-round development of students. To achieve this, we provide sports facilities within the campus. For more details, please visit our official website: https://cdac.in/index.aspx?id=BL"
"what can you do", "I can answer to low-intermediate questions regarding cdac and little more queries"
"what are the thing you can do","I can answer to low-intermediate questions regarding cdac and little more queries "
"things you can do","I can answer to low-intermediate questions regarding cdac and little more queries"
"what can u do for me","I can answer to low-intermediate questions regarding cdac and little more queries"
"how u can help me","I can answer to low-intermediate questions regarding cdac and little more queries"
"why i should use you","I can answer to low-intermediate questions regarding cdac and little more queries"
"help","I can answer to low-intermediate questions regarding cdac and little more queries"
"can you help me","I can answer to low-intermediate questions regarding cdac and little more queries"
"how long will be the vacation","Academic calender is given to you by your course-co-ordinators after you join your respective courses"
"What are your interests?","I am interested in all kinds of things. We can talk about anything!"
"What are your favorite subjects?","My favorite subjects include robotics, computer science, and natural language processing.."
"What is cdac?","Centre for Development of Advanced Computing (C-DAC) is the premier R&D organization of the Ministry of Electronics and Information Technology (MeitY) for carrying out R&D in IT, Electronics and associated areas."
"What is full form of cdac?","Centre for Development of Advanced Computing."
"When was cdac developed?","The setting up of C-DAC in 1988 itself was to built Supercomputers in context of denial of import of Supercomputers by USA. Since then C-DAC has been undertaking building of multiple generations of Supercomputer starting from PARAM with 1 GF in 1988."
"What is GIST and NCST?","C-DAC started building Indian Language Computing Solutions with setting up of GIST group (Graphics and Intelligence based Script Technology); National Centre for Software Technology (NCST) set up in 1985 had also initiated work in Indian Language Computing around the same period."
"What is R&D?","The primary activity in all centres of C-DAC is research and development in specific areas of information and communication technology and electronics (ICTE). Across all these centres, we span a wide range of topics in ICTE. Broadly, we can divide the R&D activities into two broad classes: the enabling technologies and application verticals. The research activities are usually driven by specific application areas, and hence mostly applied in nature."
"why should one  must go for cdac course ?","Engaging in CDAC enhances skills, provides industry-relevant training, and offers certification, boosting employability in the technology sector."
"When was cdac developed?","The setting up of C-DAC in 1988 itself was to built Supercomputers in context of denial of import of Supercomputers by USA. Since then C-DAC has been undertaking building of multiple generations of Supercomputer starting from PARAM with 1 GF in 1988."
"can you provide cdac main head-quarter Contact information?","Centre for Development of Advanced Computing, C-DAC Innovation Park, Panchavati, Pashan, Pune - 411 008, Maharashtra (India), Phone: +91-20-25503100, Fax: +91-20-25503131"
"Products provided by cdac?","High Performance, Grid and Cloud Computing, Multilingual and Heritage computing, Strategic Electronics, Software Technologies including FOSS, Cyber Security, Quantum Computing, Health Informatics, Education & Training."
"Services provided by cdac?","High Performance, Grid and Cloud Computing, Multilingual and Heritage computing, Strategic Electronics, Software Technologies including FOSS, Cyber Security, Quantum Computing, Health Informatics, Education & Training."
"Projects by cdac?","High Performance, Grid and Cloud Computing, Multilingual and Heritage computing, Strategic Electronics, Software Technologies including FOSS, Cyber Security, Quantum Computing, Health Informatics, Education & Training."
"Education and Training provided by cdac?","PG-Diploma Courses, Formal Training Programmes, Corporate Training Programmes, International Training Program"
"What is the  eligibilty criteria for PG-DAC?","The education eligibility criteria for the PG-DAC course is:Graduate in Engineering (10+2+4 or 10+3+3 years) in IT / Computer Science / Electronics / Telecommunications / Electrical / Instrumentation, OR MSc/MS (10+2+3+2 years) in Computer Science, IT, Electronics OR Graduate in any discipline of Engineering,OR MCA, MCM, OR Post Graduate Degree in Physics/Mathematics / Statistics, OR Post Graduate Degree in Management with graduation in IT / Computer Science / Computer Applications.The candidates must have secured a minimum of 50% marks in their qualifying examination."
"What is the  eligibilty criteria for PG-DBDA?","The education eligibility criteria for the PG-DBDA course is:Graduate in Engineering (10+2+4 or 10+3+3 years) in IT / Computer Science / Electronics / Telecommunications / Electrical / Instrumentation, OR MSc/MS (10+2+3+2 years) in Computer Science, IT, Electronics OR Graduate in any discipline of Engineering,OR MCA, MCM, OR Post Graduate Degree in Physics/Mathematics / Statistics, OR Post Graduate Degree in Management with graduation in IT / Computer Science / Computer Applications.The candidates must have secured a minimum of 55% marks in their qualifying examination."
"What is the  eligibilty criteria for PG-DITISS?","The education eligibility criteria for the PG-DITISS course is:Graduate in Engineering (10+2+4 or 10+3+3 years) in IT / Computer Science / Electronics / Telecommunications / Electrical / Instrumentation, OR MSc/MS (10+2+3+2 years) in Computer Science, IT, Electronics OR Graduate in any discipline of Engineering,OR MCA, MCM, OR Post Graduate Degree in Physics/Mathematics / Statistics, OR Post Graduate Degree in Management with graduation in IT / Computer Science / Computer Applications.The candidates must have secured a minimum of 55% marks in their qualifying examination."
"What is the  eligibilty criteria for PG-DESD?","The educational eligibility criteria for PG-DESD course is Graduate in Engineering (10+2+4 or 10+3+3 years) in IT / Computer Science / Electronics / Telecommunications / Electrical / Instrumentation, OR MSc/MS (10+2+3+2 years) in Computer Science, IT, Electronics.The candidates must have secured a minimum of 55% marks in their qualifying examination."
"What is the  eligibilty criteria for PG-DIoT?"," Graduate in Engineering (10+2+4 or 10+3+3 years) in IT / Computer Science / Electronics / Telecommunications / Electrical /Instrumentation, OR MSc/MS (10+2+3+2 years) in Computer Science, IT, Electronics with Mathematics in 10+2, OR MCA.The candidate must have minimum 55% marks in qualifying exam."
"what is the  fees for (PG-DAC) course ?","The PG-DAC course fee will be ₹1,06,200/."
"what is the  fees for (PG-DBDA) course  ?","The PG-DBDA course fee will be ₹1,35,700/."
"what is the  fees for (PG-DITISS) course  ?","The PG-DITISS course fee will be ₹1,06,200/."
"what is the  fees for (PG-DESD) course  ?","The PG-DESD course fee will be ₹1,06,200/."
"what is the  fees for (PG-DIOT) course  ?","The PG-DIOT course fee will be ₹1,06,200/."
"what is the  fees for (PG-DUASP) course  ?","The PG-DUASP course fee will be ₹1,06,200/."
"What is the  eligibilty criteria for PG-DUASP?","Eligibility criteria Graduate in Engineering or Technology (10+2+4 or 10+3+3 years) in any discipline of Engineering, OR MSc/MS (10+2+3+2 years) in Computer Science, IT, Electronics OR MCA, MCM, OR Post Graduate Degree in Physics / Mathematics / Statistics, OR Post Graduate Degree in Management with graduation in IT /Computer Science / Computer ApplicationsThe candidate must have 55% in the qualifying degree."
"How to register for C-CAT?","The process of admission to C-DAC's PG Diploma courses begins with online registration.  Candidates are advised to read the instructions carefully while filling the online registration and application forms. Upon registering, candidates will get their Form Number that can be used to log in, fill and complete the C-CAT application form."
"How to get the admission for PG Diploma courses? ","Admissions to all Post Graduate Diploma courses of C-DAC are done through C-DAC's computerized Common Admission Test (C-CAT).Every year, C-CAT is conducted in December / January (for February / March admissions) and June / July (for August / September admissions).Candidates who qualify the upcoming C-CAT will only be considered for admission to C-DAC’s Post Graduate Diploma courses on the basis of their C-CAT ranks and can further participate in counseling rounds."
